app_commit	gallery_source_sha256	matrix_sha256	host	url	checked_at_utc	request	status	exact_card_count	semantic_app_count	option_control_count	lifecycle
7b6a091ab6d240ec3fcfbd8f34248d2a78f3373b	40934aa56fc86b56684d8a8ebfa903b5117c44f2639f124308f86728d35663e3	b0482710d53d0d0f501831366f8a5f3c3a0874f5725aeed3d79e80d31bdef037	strato2	http://127.0.0.1:8129/	2026-07-29T00:21:28Z	/	200	359	1	4	initial served smoke
7b6a091ab6d240ec3fcfbd8f34248d2a78f3373b	40934aa56fc86b56684d8a8ebfa903b5117c44f2639f124308f86728d35663e3	b0482710d53d0d0f501831366f8a5f3c3a0874f5725aeed3d79e80d31bdef037	strato2	http://127.0.0.1:8129/surface/	2026-07-29T00:21:28Z	source_fidelity=confirmed	200	154			initial served filter smoke
7b6a091ab6d240ec3fcfbd8f34248d2a78f3373b	40934aa56fc86b56684d8a8ebfa903b5117c44f2639f124308f86728d35663e3	b0482710d53d0d0f501831366f8a5f3c3a0874f5725aeed3d79e80d31bdef037	strato2	http://127.0.0.1:8129/surface/	2026-07-29T00:21:28Z	validation_tier=bridgestan-finite-density-gradient	200	166			initial served filter smoke
7b6a091ab6d240ec3fcfbd8f34248d2a78f3373b	40934aa56fc86b56684d8a8ebfa903b5117c44f2639f124308f86728d35663e3	b0482710d53d0d0f501831366f8a5f3c3a0874f5725aeed3d79e80d31bdef037	strato2	http://127.0.0.1:8129/surface/	2026-07-29T00:21:28Z	translation_route=ordinary_brm&validation_tier=unsupported	200	51			initial served filter smoke
7b6a091ab6d240ec3fcfbd8f34248d2a78f3373b	40934aa56fc86b56684d8a8ebfa903b5117c44f2639f124308f86728d35663e3	b0482710d53d0d0f501831366f8a5f3c3a0874f5725aeed3d79e80d31bdef037	strato2	http://127.0.0.1:8129/	2026-07-29T00:22:37Z	/	200	359	1	4	restarted listener and repeated root smoke
