row_key	row_index	probe_id	candidate_sha	stanblocks_sha	descriptor	stanc	stan_code_sha256	stan_data_sha256	bridgestan_instantiate	dimension	log_density_zero	gradient_finite	descriptor_operations	prediction_outputs	prediction_rows	prediction_finite	pointwise_outputs	pointwise_rows	pointwise_finite	result	error
brms:cbpp_beta_binomial	102	d3c29c57ff917dd0	98d54fb413e3994eb3e4c9ea76d659cddce433c5	b77d5b0172970e0eb414f59d746fc2f96b71d363	pass	pass	5bd3ffc432181399aca389903823bdf5793ee2ee874965b32e8df36a74ac5379	bb9bc4724bfab2cae230ff2b8e6788dd8216a36fbec392d8dd3b7bc3285d8689	pass	6	-69.62505429917509	true	transpile,instantiate,fit,predict,pointwise_loglik	incidence_gen	12	true	incidence_likelihood	12	true	pass	
mcelreath:ucbadmit_beta_binomial	162	4f397b0e3b2a7a9e	98d54fb413e3994eb3e4c9ea76d659cddce433c5	b77d5b0172970e0eb414f59d746fc2f96b71d363	pass	pass	7b3f071c9b25d2155a490a136a24c2c6d168dd5ada80cbf261db1b6619914966	3686c61329cccc576c1d4a57147e0dc9f17c2cf873d2134af393a142052fcfce	pass	2	-69.62505429917509	true	transpile,instantiate,fit,predict,pointwise_loglik,reprocess	admit_gen	12	true	admit_likelihood	12	true	pass	
