row_key	row_index	probe_id	historical_stanblocks_sha	refresh_stanblocks_sha	brm_sha	prior_descriptor	prior_failure_stage	prior_failure_signature	descriptor	stanc	stan_code_sha256	stan_data_sha256	bridgestan_instantiate	dimension	log_density_zero	gradient_finite	descriptor_operations	prediction_outputs	prediction_rows	prediction_finite	pointwise_outputs	pointwise_rows	pointwise_finite	result	error
mcelreath:chimpanzees_intercept	156	76bbe339f438cf60	329a178a7ad7877da0b58ad2c360d417ddd663f9	277f23334fab9f2f88b53cd10f38f5d6bb1118c2	31c8848805c03087205b29e4fd7c3c31102de765	fail	descriptor	binomial_logit_rng(::array[] tokenof, ::int, ::vector)	pass	pass	16aeea9bf69c6457c0992b25a063346249b09813f8babdaaffa55b21c2fa9a7b	d15d0f872781bc2020835989b03217d28abccf28a728dc8a02dd22faf8f097a3	pass	1	-8.317766166719343	true	transpile,instantiate,fit,predict,pointwise_loglik,reprocess	pulled_left_gen	12	true	pulled_left_likelihood	12	true	pass	
mcelreath:chimpanzees_slopes	159	b540549e09b58419	329a178a7ad7877da0b58ad2c360d417ddd663f9	277f23334fab9f2f88b53cd10f38f5d6bb1118c2	31c8848805c03087205b29e4fd7c3c31102de765	fail	descriptor	binomial_logit_rng(::array[] tokenof, ::int, ::vector)	pass	pass	4d6c8b4977560bf7c678df39c5fea0bc8c1f37d332fa9ea3d9967867b483f5f6	c232e1a0e6c02ca47771519016df4b8a7d3a695189554d8ef882dd944e0e7cb7	pass	9	-9.317766166719343	true	transpile,instantiate,fit,predict,pointwise_loglik	pulled_left_gen	12	true	pulled_left_likelihood	12	true	pass	
mcelreath:moralizing_gods	175	b37c8d11c6537a7b	329a178a7ad7877da0b58ad2c360d417ddd663f9	277f23334fab9f2f88b53cd10f38f5d6bb1118c2	31c8848805c03087205b29e4fd7c3c31102de765	fail	descriptor	binomial_logit_rng(::array[] tokenof, ::int, ::vector)	pass	pass	052deec3cea5ea60ce5a17b940dfab298ff792263d7a6c8dc5a898da5c3e5012	ffb6fd901df9e065b6184e29b066505f94fa7d3a9621c0ee17a2707b6af07b1a	pass	2	-8.317766166719343	true	transpile,instantiate,fit,predict,pointwise_loglik,reprocess	moralizing_gods_gen	12	true	moralizing_gods_likelihood	12	true	pass	
kruschke:recall_conditions	188	147e995772c06752	329a178a7ad7877da0b58ad2c360d417ddd663f9	277f23334fab9f2f88b53cd10f38f5d6bb1118c2	31c8848805c03087205b29e4fd7c3c31102de765	fail	descriptor	binomial_logit_rng(::array[] tokenof, ::int, ::vector)	pass	pass	516d77976d03736a2b00e19662f543586ca4b67633bd6244c336bab2c935fe56	ebbbfda428251e201c98de292284594bfe7e8b59f8feddee42b79196e9b6c9ad	pass	1	-166.35532333438687	true	transpile,instantiate,fit,predict,pointwise_loglik,reprocess	n_recalled_gen	12	true	n_recalled_likelihood	12	true	pass	
kruschke:recall_pooled	189	e9d8fc7df823264f	329a178a7ad7877da0b58ad2c360d417ddd663f9	277f23334fab9f2f88b53cd10f38f5d6bb1118c2	31c8848805c03087205b29e4fd7c3c31102de765	fail	descriptor	binomial_logit_rng(::array[] tokenof, ::int, ::vector)	pass	pass	98e2e9aa4c5833f991d84e9970455729c56fc29fd0427a320c1aa6604ff0a1cb	b61cd2eff84525d1b72f052ddc9ca916550d9b1958933d901b69c2dbbc806237	pass	1	-166.35532333438687	true	transpile,instantiate,fit,predict,pointwise_loglik,reprocess	n_recalled_gen	12	true	n_recalled_likelihood	12	true	pass	
